Designator,Footprint,Quantity,Value,LCSC Part #
"_11, _10, _9, _8, _7, _6, _5, _4, _3, _2, ",,11,,
"C1, C12, C13, C14, C15, C17, C19, C20, C23, C4",0402,10,0.1uF,
"C10, C16, C18, C2, C3, C9",0402,6,1uF,
"C11, C8",0603,2,10uF,
"C21, C22, C5, C6, C7",0805,5,22uF,
C24,0603,1,1uF,
D1,0402,1,Red,
D2,0402,1,Blue,
"D3, D4",0402,2,Green,
D5,0402,1,LED,
D7,D_SOD-323,1,PMEG4020EJ,
J1,USB-C_16(CUSTOM),1,USB_C_Receptacle,
J14,JST_SH_SM05B-SRSS-TB_1x05-1MP_P1.00mm_Horizontal,1,Conn_01x05,
"J15, J7, J8",JST_SH_SM10B-SRSS-TB_1x10-1MP_P1.00mm_Horizontal,3,Conn_01x10,
J2,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,1,Conn_01x04,
J4,JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,1,Conn_01x04,
J5,JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal,1,Conn_01x03,
J9,JST_GH_SM02B-GHS-TB_1x02-1MP_P1.25mm_Horizontal,1,Conn_01x02,
L1,L_Bourns_SRN6045TA,1,22 uH,
"R1, R2",0402,2,22,
"R10, R9",0402,2,4.7K,
R11,0402,1,3K,
"R12, R13",0402,2,1K,
R14,0402,1,22K,
"R15, R19",0402,2,100K,
"R18, R4",0402,2,5.1k,
"R28, R29, R30, R31",0603,4,DNP,
R3,0402,1,1.5K,
"R5, R6",0402,2,10k,
R7,0603,1,59K,
R8,0402,1,500,
"SW1, SW4",SW_SPST_TL3342,2,SW_Push,
U1,ESP32-MINI,1,ESP32-S3-MINI,
U2,SOT-23-5,1,MIC5504-1.8YM5-TR,
U3,InvenSense_QFN-24_3x3mm_P0.4mm,1,ICM-20948,
U4,TSSOP-14_4.4x5mm_P0.65mm,1,TXU0304PWR,
U5,Bosch_LGA-8_2x2.5mm_P0.65mm_ClockwisePinNumbering,1,BMP280,
U6,Texas_DRT-3,1,TPD2EUSB30,
U7,SOIC-8_3.9x4.9mm_P1.27mm,1,L6982N33DR,
U8,IC_TPS2121RUXR,1,TPS2121RUXR,
