Designator,Mid X,Mid Y,Rotation,Layer
BT1,172.21,-69.624999,270.0,bottom
C1,193.51,-74.974999,270.0,top
C10,225.91,-53.249999,0.0,top
C11,225.935,-51.599999,180.0,top
C12,155.26,-66.499999,180.0,top
C13,134.76,-33.474999,270.0,top
C14,133.26,-33.474999,270.0,top
C15,209.31,-51.274999,90.0,top
C16,216.11,-51.274999,90.0,top
C17,219.56,-51.249999,90.0,top
C18,212.885,-51.274999,90.0,top
C19,225.96,-54.849999,180.0,top
C2,171.46,-77.174999,0.0,top
C20,155.26,-64.749999,180.0,top
C21,215.01,9.750001,270.0,top
C22,93.76,9.750001,270.0,top
C26,90.01,9.750001,270.0,top
C3,167.185,-76.899999,180.0,top
C4,172.71,-74.974999,0.0,top
C5,188.085,-75.174999,270.0,top
C6,213.26,9.750001,270.0,top
C7,217.01,9.750001,270.0,top
C8,91.76,9.750001,270.0,top
C9,223.41,-54.224999,90.0,top
D1,149.76,-71.999999,180.0,top
D10,89.76,5.250001,0.0,top
D2,149.785,-70.324999,180.0,top
D3,103.115,-65.774999,180.0,top
D4,175.835,-61.449999,0.0,top
D5,103.285,-58.699999,180.0,top
D6,167.835,-61.374999,0.0,top
D7,163.76,-75.749999,180.0,top
D8,212.135,5.500001,0.0,top
J1,160.12,-79.952499,0.0,top
L1,190.685,-72.024999,180.0,top
Q3,154.31,-50.062499,270.0,top
Q4,159.76,-50.062499,270.0,top
R1,171.31,-42.749999,0.0,top
R10,157.01,-48.249999,0.0,top
R11,93.26,5.250001,0.0,top
R12,166.96,-71.549999,270.0,top
R13,165.035,-71.499999,270.0,top
R14,167.76,-67.899999,90.0,top
R15,107.4025,-65.774999,180.0,top
R16,195.135,-78.974999,180.0,top
R17,191.635,-78.974999,180.0,top
R18,153.435,-83.999999,180.0,top
R19,171.31,-45.599999,180.0,top
R2,164.81,-61.374999,180.0,top
R20,144.535,-70.324999,0.0,top
R21,144.51,-71.999999,0.0,top
R27,198.91,-52.074999,0.0,top
R28,198.91,-48.999999,0.0,top
R3,107.5725,-58.659999,0.0,top
R4,166.76,-83.999999,0.0,top
R5,221.46,-54.374999,270.0,top
R6,172.785,-61.449999,180.0,top
R7,215.76,5.500001,180.0,top
R8,125.835,-44.024999,90.0,top
R9,157.035,-55.199999,0.0,top
SW1,165.01,-44.749999,0.0,top
SW2,180.51,-43.999999,0.0,top
SW3,135.01,-43.999999,0.0,top
SW4,149.11,-44.749999,0.0,top
SW8,179.485,-73.499999,90.0,top
U1,99.367,-34.729999,0.0,top
U12,100.95,9.770001,90.0,top
U2,217.867,-34.729999,0.0,top
U3,169.26,-74.849999,180.0,top
U4,158.51,-9.500001,0.0,top
U5,218.095,-66.274999,0.0,top
U6,160.26,-75.924999,0.0,top
U7,224.24,9.770001,90.0,top
U8,190.76,-74.749999,90.0,top
U9,158.915,-70.974999,0.0,top
