Designator,Mid X,Mid Y,Rotation,Layer
_11,-311.1325,17.4175,0.0,top
_10,-310.16,16.445,0.0,top
_9,-308.29,17.85,0.0,top
_8,-309.17,17.85,0.0,top
_7,-312.0675,18.3525,0.0,top
_6,-311.45,16.445,0.0,top
_5,-308.29,17.14,0.0,top
_4,-309.18,16.45,0.0,top
_3,-308.28,16.46,0.0,top
_2,-312.39,16.445,0.0,top
,-309.2,17.14,0.0,top
C1,-314.69,6.55,0.0,bottom
C10,-317.52,24.04,270.0,top
C11,-317.79,26.54,270.0,top
C12,-308.24,7.39,270.0,top
C13,-312.27,5.2,180.0,top
C14,-311.07,12.16,270.0,top
C15,-311.12,7.44,270.0,top
C16,-315.24,2.35,180.0,top
C17,-317.12,2.35,0.0,top
C18,-309.71,2.72,180.0,bottom
C19,-318.57,24.04,90.0,top
C2,-301.46,8.76,0.0,bottom
C20,-296.12,1.105,90.0,bottom
C21,-307.51,7.84,180.0,bottom
C22,-307.51,12.12,180.0,bottom
C23,-307.18,-3.37,180.0,bottom
C24,-298.125,0.925,0.0,bottom
C3,-300.5,13.92,180.0,bottom
C4,-309.69,7.45,90.0,top
C5,-307.51,9.99,180.0,bottom
C6,-297.36,-0.845,0.0,bottom
C7,-297.36,-2.875,0.0,bottom
C8,-314.93,-2.17,180.0,bottom
C9,-303.12,9.55,90.0,top
D1,-303.9475,0.95,180.0,top
D2,-303.9425,-1.37,180.0,top
D3,-291.77,12.58,0.0,top
D4,-326.47,12.56,0.0,top
D5,-303.9475,-0.25,180.0,top
D7,-298.22,19.79,90.0,top
J1,-295.77,25.4475,180.0,top
J14,-322.86,26.12,180.0,bottom
J15,-291.985,4.34,90.0,top
J2,-326.52,-6.48,270.0,top
J4,-300.79,4.36,180.0,top
J5,-291.985,-6.34,90.0,top
J7,-326.3,4.44,270.0,top
J8,-309.22,-14.43,0.0,top
J9,-292.43,-3.59,90.0,bottom
L1,-313.465,10.42,180.0,bottom
R1,-308.39,12.66,270.0,top
R10,-318.0,16.48,0.0,top
R11,-301.0325,-1.37,0.0,top
R12,-292.24,14.21,90.0,top
R13,-326.96,14.13,90.0,top
R14,-318.78,-12.95,0.0,top
R15,-318.78,-14.61,180.0,top
R18,-294.49,26.42,90.0,bottom
R19,-307.47,-0.6,270.0,top
R2,-309.44,12.66,270.0,top
R3,-301.0125,-0.25,0.0,top
R4,-297.47,26.42,90.0,bottom
R5,-302.15,8.63,90.0,top
R6,-319.04,27.09,270.0,top
R7,-307.75,-4.62,0.0,bottom
R8,-301.0125,0.95,0.0,top
R9,-317.95,17.83,0.0,top
SW1,-323.81,26.01,0.0,top
SW4,-298.35,12.06,90.0,top
U1,-309.24,21.5,0.0,top
U2,-300.99,11.34,270.0,bottom
U3,-309.23,4.2,180.0,top
U4,-314.39,9.84,180.0,top
U5,-316.395,4.19,90.0,top
U6,-296.225,20.37,90.0,top
U7,-313.515,2.33,180.0,bottom
U8,-303.64,-4.4,270.0,bottom
