Designator,Footprint,Quantity,Value,LCSC Part #
BT1,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,Battery_Cell,
"C1, C2, C21, C22, C4, C7, C8",0805,7,22uF,
"C10, C12, C13, C3, C9",0603,5,1uF,
"C11, C5",0603,2,10uF,
"C14, C15, C16, C17, C18, C19, C20, C26, C6",0603,9,0.1uF,
"D1, D2, D5",0603,3,LED,
"D10, D3, D8",0603,3,GREEN,
D4,0603,1,Yellow,
D6,0603,1,Red,
D7,D_SOD-323,1,PMEG4020EJ,
J1,USB-C_16,1,USB_C_Receptacle,
L1,L_Changjiang_FTC201608S,1,0.47 uH,
"Q3, Q4",SOT-23,2,MMBT2222A,
"R1, R10, R14, R19, R27, R28, R5, R8, R9",0603,9,10k,
"R11, R2, R3, R6, R7",0603,5,5K,
R12,0603,1,13K,
R13,0603,1,600,
R15,0603,1,1K,
R16,0603,1,511K,
R17,0603,1,91K,
"R18, R4",0603,2,5.1k,
"R20, R21",0603,2,470,
"SW1, SW4",SW_Push_1P1T_NO_CK_KSC7xxJ,2,SW_Push,
"SW2, SW3, SW8",mts101sw,3,SW_SPST,
"U1, U2",XDCR_COM-09032,2,COM-09032,
"U12, U7",nRF24L01_Breakout,2,NRF24L01_Breakout,
U3,IC_BQ25185DLHR,1,BQ25185DLHR,
U4,Waveshare_2inch_foot,1,ST7789_2IN_WS,
U5,ESP32-WROVER-E-IE,1,ESP32-WROVER-E-N16R8,
U6,Texas_DRT-3,1,TPD2EUSB30,
U8,VREG_TPS63802DLAR,1,TPS63802DLAR,
U9,SOIC-16_3.9x9.9mm_P1.27mm,1,CH340C,
